blz;isownblz;islzbgiro;name;shortcut;plz;location;pan;bic;checksum;increm
10000000;1;1;Bundesbank;BBk;10591;Berlin;20100;ZBBBB1100;09;11380
10010010;1;1;Postbank;Postbank;10916;Berlin;10010;PBNKFF100;24;00538
10010111;1;2;SEB;SEB;10789;Berlin;25805;ESSE5F100;13;05361
10010222;1;1;ABN AMRO Bank;ABN AMRO Bank;10105;Berlin;29190;ABNAFFBER;10;11142
10010424;1;1;Aareal Bank (ehem Depfa Bank);Aareal Bank;10666;Berlin;26910;AARB5W100;09;04795
10010600;1;1;IKB Deutsche Industriebank;IKB;10834;Berlin;26960;;09;06575
10020000;1;1;Berliner Bank Ndl d Bankgesellschaft Berlin;Berliner Bank;10890;Berlin;25140;BEBEBBXXX;69;13616
10020100;1;1;Riggs Bank Europe;Riggs Bank;10117;Berlin;25206;RAPBBBXXX;09;50477
10020200;1;1;ING BHF-BANK;ING BHF-BANK;10703;Berlin;25155;BHFBFF100;60;04794
10020383;1;2;Delbrück & Co;Delbrückbank;10722;Berlin;26040;;00;11134
10020500;1;1;Sozialbank;Sozialbank;10178;Berlin;25013;BFSW31BER;09;00530
